영어	뜻	예문	논문
sophisticated	정교한	requires a sophisticated semantic understanding of 3D scenes.	오윤선_Task-Aware Semantic Map++: Cost-Efficient Task Assignment With Advanced Benchmark
conventional	기존의	conventional scene representations	
attribute	특징, 속성	rely on static attributes like visual information	
infer	추론하다	allowing robots to infer context-awareactions.	
construct	만들어내다, 작성하다	construct a map	
assign	할당하다	assigns appropriate tasks	
holistic	전체적인	holistic context	
centric	중심의	While prior work like TASMap pioneered this task-centric approach,	
pioneer	개척하다	While prior work like TASMap pioneered this task-centric approach,	
synthesis	합성	a multi-view synthesis pipeline	
predecessor	전임자(이전 모델)	improved computational efficiency over its predecessor	
derived from	~에서 유래되다	we established a reliable benchmark derived from the consensus	
consensus	합의	 the consensus of 32 participants across 231 cluttered scenes. 	
cluttered	어수선한	 the consensus of 32 participants across 231 cluttered scenes. 	
across	(전반에)걸쳐	the consensus of 32 participants across 231 cluttered scenes	
superior	우수한	TASMap++ demonstrates superior accuracy over baselines	
baseline	기준치	TASMap++ demonstrates superior accuracy over baselines	
paradigm	패러다임	 a paradigm distinct from conventional object grounding	
distinct from 	~와 구별되는	 a paradigm distinct from conventional object grounding	
grouding	연결하는 과정(로보틱스 용어)	 conventional object grounding that relies on visual and spatial attributes	
downstream application	후속 응용 작업	We present a downstream application of TASMap++	
experimentally	실험적으로	show experimentally that conventional grounding methods	
struggle in	어려움을 겪다	show experimentally that conventional grounding methods struggle in this setting	
finding	결과	To confirm these findings	
practicality	실용성, 현실성	the framework’s robustness and practicality	
validate	검증하다	the framework’s robustness and practicality were validated through extensive experiments	
cornerstone	주춧돌	scene representation is a cornerstone	
to date	지금까지	To date, ~~	
instrumental	중요한	scene representation have been instrumental in solving robotics tasks	
predominantly	대부분	existing approaches have predominantly relied on low-level semantic information,	
tidy	깔끔한, 정리하다	a tidy desk / tidy a cluttered room	
depict	(그림으로) 묘사하다	as depicted in Fig 1	
crumpled	구겨진	crumpled clothes	
straighten	(자세를) 똑바르게 하다	Straighten the trash can	
inherently	선천적으로	an object-by-object basis is inherently inefficient	
capable	가능한	a robot should be capable of autonomously inferring necessary actions	
capability	능력	they lack the capability to reason	
group	모이다	since these methods group objects based on relevance	
explicit	분명한	without explicit user commands.	
redundant	불필요한	a high volume of redundant tasks	
pose	제기하다	These limitations pose a formidable barrier	
formidable	어마어마한	These limitations pose a formidable barrier	
shortcomings	단점, 결점	To address these shortcomings	
